rank,zip_code,City,investment_score,renter_pct,vacancy_rate,multifamily_share,median_contract_rent,median_household_income,rent_to_income_ratio,rent_burden_rate,price_latest,price_chg_1yr_pct,price_chg_3yr_pct,price_cut_rate,inv_chg_6m_pct,core_service_area,str_status,str_notes,mello_roos_signal,wildfire_notes
47,90680,Stanton,49.5639534883721,0.4981512940941341,0.0380733486559408,0.2432614555256064,1773.0,79303.0,0.2682874544468683,0.3344032096288866,790020.2892014737,0.40445853840185286,13.817929655114082,0.2,0.0,False,,,,
48,92646,Huntington Beach,48.43023255813954,0.2417531289256967,0.0365235192853487,0.1492952688751234,2340.0,123899.0,0.2266362117531214,0.2311393379522709,1406748.5142238445,4.306119892261906,23.075707525358922,0.26,16.279069767441868,True,Permitted (restricted),Owner-occupied allowed in Zones 1-2; unhosted only in Sunset Beach,Low,Low
49,92603,Irvine,47.49999999999999,0.4410348149167469,0.1096738681711848,0.1242559523809523,3157.0,187713.0,0.2018187339182688,0.2652106084243369,2399593.9914449346,5.178277473327708,40.44494561618834,0.2307692307692307,71.05263157894737,True,Banned,All residential zones prohibited; fines up to $1500/day,Heavy (many newer villages),Low-Moderate (eastern foothill villages near open space)
50,92705,North Tustin,47.26744186046511,0.38314826910516,0.0539516655780535,0.1826970748636589,2082.0,125059.0,0.1997777049232762,0.2690078418002046,1604284.278926111,2.035200268884907,23.585970207822715,0.2736842105263158,31.944444444444443,False,,,,
51,90623,La Palma,47.09302325581396,0.331219028741328,0.0223984142715559,0.1196200077549437,2034.0,110028.0,0.2218344421420002,0.3859964093357271,1213185.1334240895,3.1401227690036837,19.897599341548265,,45.45454545454546,False,,,,
52,92870,Placentia,47.09302325581395,0.3616770698386526,0.032151690024732,0.1745207667731629,1952.0,106298.0,0.2203616248659429,0.316834907196353,1119783.6455605102,0.4602070517109924,18.28100815165401,0.2,34.32835820895524,False,,,,
53,92688,Rancho Santa Margarita,46.51162790697675,0.3028713947688175,0.023342073287715,0.1988501437320335,2313.0,141089.0,0.1967268887014579,0.2865287162162162,1026276.7969380636,-2.0058200219632227,14.800044715687854,0.3050847457627119,17.999999999999993,True,Verify,Not confirmed in research,Moderate (Dove Canyon district),Low-Moderate (Dove Canyon foothill edge)
54,92617,Irvine,46.48255813953488,0.6994033960532354,0.1099128040385497,0.4306388257184205,1500.0,67056.0,0.2684323550465283,0.4137139107611549,828704.427619569,-3.335829290347936,13.12337296742001,,,True,Banned,All residential zones prohibited; fines up to $1500/day,Heavy (many newer villages),Low-Moderate (eastern foothill villages near open space)
55,92662,Newport Beach,46.162790697674424,0.4245524296675191,0.6325660699062233,0.0219321148825065,2299.0,157128.0,0.1755765999694516,0.253012048192771,4627201.456849304,11.167311045067674,20.20913244056688,,216.66666666666666,True,Permitted (cap),Max 1550 active permits; waitlist when cap reached,Low,Low-Moderate (Newport Coast/Crystal Cove foothill edge)
56,92801,Anaheim,45.93023255813954,0.6343450479233227,0.0531416400425985,0.3705126908686419,1749.0,76264.0,0.2752019301374174,0.3253588516746411,866200.8431025116,0.3079900424305615,15.402191504366458,0.2388059701492537,103.03030303030303,False,,,,
57,92660,Newport Beach,45.697674418604656,0.4971931615207961,0.1036616483796886,0.2195248829547425,3087.0,152700.0,0.2425933202357564,0.3334616371567873,3273268.758616297,9.589809568793473,32.492130312857,0.2631578947368421,16.326530612244895,True,Permitted (cap),Max 1550 active permits; waitlist when cap reached,Low,Low-Moderate (Newport Coast/Crystal Cove foothill edge)
58,92614,Irvine,45.697674418604656,0.620505762945123,0.0433511095819714,0.1644682605111294,2459.0,109475.0,0.269540991093857,0.2407818131411145,1234868.638883551,-0.7593749336612277,26.797732879970226,0.2156862745098039,45.71428571428571,True,Banned,All residential zones prohibited; fines up to $1500/day,Heavy (many newer villages),Low-Moderate (eastern foothill villages near open space)
59,92683,Westminster,45.406976744186046,0.4754441716019066,0.0372670807453416,0.1656106391867428,1865.0,80292.0,0.2787326259154087,0.3645754215403312,1103915.0749783749,2.6429832359905703,20.932564651096563,0.1733333333333333,38.888888888888886,False,,,,
60,92887,Yorba Linda,45.0,0.1514511129895745,0.034516765285996,0.1073130872940215,2190.0,159295.0,0.1649769295960325,0.2241860465116279,1517638.6892944358,0.8322002209762314,17.262730510406765,0.2575757575757575,24.52830188679245,False,,,,
61,92845,Garden Grove,44.651162790697676,0.2161913523459061,0.0193192272309107,0.0518050541516245,2381.0,126103.0,0.2265766873111662,0.3182978723404255,1128961.370862782,2.4333663045692733,20.57025268665513,,-23.809523809523814,False,,,,
62,92651,Laguna Beach,44.65116279069767,0.3176661264181523,0.2840806771114713,0.1379286165065563,2582.0,148381.0,0.2088137969146993,0.3038548752834467,3110161.131483274,4.1969691285489885,12.644365482535003,0.1757575757575757,12.244897959183664,True,Restricted,Banned in residential zones; permitted only in commercial/mixed-use districts; ~300-unit citywide cap,Low,Elevated (historic canyon/hillside fire risk; 1993 fire)
63,92656,Aliso Viejo,44.47674418604652,0.426220515633571,0.0563506707225851,0.2099797007033942,2484.0,130854.0,0.2277958640928057,0.2509652509652509,998136.2234261428,0.15331755240735045,19.058543684150408,0.3265306122448979,18.07228915662651,True,Banned,Listed among OC cities prohibiting STR,Moderate-Heavy,Low
64,92677,Laguna Niguel,44.418604651162795,0.3395538650501208,0.0762312294464915,0.1608069800832014,2515.0,135822.0,0.2222025886822458,0.2915985997666278,1493046.3811351538,3.4784913480368385,26.796693320730004,0.2017937219730941,28.160919540229877,True,Banned,All residential zones prohibited under Ordinance/ZCA16-01,Light-Moderate,Low-Moderate (some canyon-adjacent tract edges)
65,92618,Irvine,44.01162790697675,0.6060054998669387,0.1067595138827286,0.2224181461146956,2716.0,132843.0,0.2453422461100697,0.2540437678401522,1593413.678824594,-4.0410145571515566,25.208576130611004,0.2852233676975945,17.338709677419352,True,Banned,All residential zones prohibited; fines up to $1500/day,Heavy (many newer villages),Low-Moderate (eastern foothill villages near open space)
66,92624,Dana Point,42.44186046511628,0.3972903698279019,0.210911753936287,0.0495917750226791,2271.0,121028.0,0.225171034801864,0.2350230414746544,1677123.1385657669,2.263169508299301,16.931734122426324,0.2058823529411764,9.677419354838701,True,Permitted (cap/waitlist),Active permit program; waitlist forms when cap is reached,Low-Moderate,Low (coastal)
67,92610,Lake Forest,42.44186046511628,0.2149286498353457,0.0421514818880351,0.1019591320834211,2574.0,170469.0,0.1811942347288949,0.1144024514811031,1256959.183970315,-3.4484188898761703,16.20096087270364,0.2162162162162162,27.586206896551737,True,Banned,Listed among OC cities prohibiting STR,Moderate (newer villages e.g. Baker Ranch),Low-Moderate (foothill edges near Whiting Ranch)
68,92604,Irvine,41.97674418604652,0.3825742956387495,0.0222886916248552,0.1758376592732421,2449.0,120460.0,0.24396480159389,0.2736443883984867,1396163.665909144,-1.6328835021999333,30.529597042664093,0.3061224489795918,25.64102564102564,True,Banned,All residential zones prohibited; fines up to $1500/day,Heavy (many newer villages),Low-Moderate (eastern foothill villages near open space)
69,92625,Newport Beach,41.627906976744185,0.4179438608575856,0.1771999311176166,0.1086892919836161,3461.0,174570.0,0.2379102938649252,0.3234445817882159,4268373.752639526,8.062472792737818,25.21526770071125,0.1443298969072164,27.63157894736843,True,Permitted (cap),Max 1550 active permits; waitlist when cap reached,Low,Low-Moderate (Newport Coast/Crystal Cove foothill edge)
